,Team,TeamID
0,Kentucky,1246
1,Playin1,0
2,Cincinnati,1153
3,Purdue,1345
4,West Virginia,1452
5,Buffalo,1138
6,Maryland,1268
7,Valparaiso,1434
8,Butler,1139
9,Texas,1400
10,Notre Dame,1323
11,Northeastern,1318
12,Wichita St,1455
13,Indiana,1231
14,Kansas,1242
15,New Mexico St,1308
16,Wisconsin,1458
17,Coastal Car,1157
18,Oregon,1332
19,Oklahoma St,1329
20,Arkansas,1116
21,Wofford,1459
22,North Carolina,1314
23,Harvard,1217
24,Xavier,1462
25,Playin2,0
26,Baylor,1124
27,Georgia St,1209
28,VA Commonwealth,1433
29,Ohio St,1326
30,Arizona,1112
31,TX Southern,1411
32,Villanova,1437
33,Lafayette,1248
34,NC State,1301
35,LSU,1261
36,Northern Iowa,1320
37,Wyoming,1461
38,Louisville,1257
39,UC Irvine,1414
40,Providence,1344
41,Playin3,0
42,Oklahoma,1328
43,Albany NY,1107
44,Michigan St,1277
45,Georgia,1208
46,Virginia,1438
47,Belmont,1125
48,Duke,1181
49,Playin4,0
50,San Diego St,1361
51,St John's,1385
52,Utah,1428
53,SF Austin,1372
54,Georgetown,1207
55,E Washington,1186
56,SMU,1374
57,UCLA,1417
58,Iowa St,1235
59,UAB,1412
60,Iowa,1234
61,Davidson,1172
62,Gonzaga,1211
63,N Dakota St,1295
64,Manhattan,1264
65,Hampton,1214
66,BYU,1140
67,Mississippi,1279
68,Dayton,1173
69,Boise St,1129
70,North Florida,1316
71,Robert Morris,1352
