,Team,TeamID
0,Villanova,1437
1,SF Austin,1372
2,Arizona,1112
3,Ohio St,1326
4,Davidson,1172
5,Notre Dame,1323
6,Arkansas,1116
7,Michigan St,1277
8,Northern Iowa,1320
9,Oklahoma,1328
10,Providence,1344
11,St John's,1385
12,Baylor,1124
13,Indiana,1231
14,"['Manhattan', 'Hampton', 'Valparaiso', 'Northeastern', 'New Mexico St', 'Coastal Car', 'Harvard', 'Georgia St', 'TX Southern', 'Lafayette', 'UC Irvine', 'Albany NY', 'Belmont', 'Robert Morris', 'North Florida', 'E Washington', 'UAB', 'N Dakota St']","[1264, 1214, 1434, 1318, 1308, 1157, 1217, 1209, 1411, 1248, 1414, 1107, 1125, 1352, 1316, 1186, 1412, 1295]"
15,Virginia,1438
16,"['Dayton', 'Boise St']","[1173, 1129]"
17,VA Commonwealth,1433
18,Texas,1400
19,Utah,1428
20,Kentucky,1246
21,San Diego St,1361
22,Iowa,1234
23,Louisville,1257
24,Iowa St,1235
25,Wyoming,1461
26,Xavier,1462
27,Purdue,1345
28,Kansas,1242
29,Georgia,1208
30,"['Mississippi', 'BYU']","[1279, 1140]"
31,LSU,1261
32,Butler,1139
33,SMU,1374
34,Maryland,1268
35,Wisconsin,1458
36,NC State,1301
37,North Carolina,1314
38,Georgetown,1207
39,Buffalo,1138
40,West Virginia,1452
41,Wichita St,1455
42,Gonzaga,1211
43,Oregon,1332
44,Oklahoma St,1329
45,Cincinnati,1153
46,Wofford,1459
47,Duke,1181
48,UCLA,1417
