,NCAA Calcutta 2015,,,$944,,,,,,,,
,Draft Results in Selection Order,,,,,,,,,,,
,,,,,,,,,,,,
Draft ,,,,,,,,,,,,
Order,Team,Seed,Region,Amount,Syndicate,,Duke,Jeffrey Arthur,Prasad,Robbie,Raj,
1,Villanova,1,E,$35,Duke,,$35,,go fuck yourself,pass,pass,
2,Stephen F. Austin,12,S,$2,Duke,,$2,pass,nope,pass,pass,
3,Arizona,2,W,$45,Duke,,$45,pass,eat cat shit,pass,fuck you,
4,Ohio State,10,W,$7,Duke,,$7,pass,really? fuck off,pass,pass,
5,Davidson,10,S,$4,Medlen,,pass,$4,curry on,pass,pass,
6,Notre Dame,3,MW,$25,Raj,,pass,p,fucking domers,pass,$25,
7,Arkansas,5,W,$5,Duke,,$5,p,not that sister,ass,nope,
8,Michigan State,7,E,$18,Robbie,,pass,p,out the bung hole,$18,pass,
9,N. Iowa,5,E,$12,Robbie,,pass,p,o prasad tiny penis,$12,pass,
10,Oklahoma,3,E,$22,Robbie,,pass,p,penis tornado,$22,boner parade,
11,Providence,6,E,$10,Raj,,pass,p,dick face,pass,$10,
12,St. John's,9,S,$5,Robbie,,pass,p,new whack city,$5,hard pass,
13,Baylor,3,W,$25,Raj,,pass,p,"fing amazonians
",pass gas,$25,
14,Indiana,10,MW,$6,Raj,,pass,p,hoosier daddy?,sad but out,$6,
15,Field,Field,Field,$19,Prasad,,pass,p,$19,pass,p,
16,Virginia,2,E,$45,Duke,,$45,p,butt plugs,p,p,
17,Dayton/Boise St.,11,E,$6,Robbie,,pass,p,cornholes,$6,p,
18,Virginia Commonwealth,7,W,$7,Raj,,pass,p,Shaka Zulu,fear the fro,$7,
19,Texas,11,MW,$11,Medlen,,pass,$11,"Long Dongs
",cow tipping,p,
20,Utah,5,S,$19,Duke,,$19,p,scalp... tickets,stick a ute up your ass,driving up duke,
21,Kentucky,1,MW,$110,Robbie,,pass,p,fucking cheaters,$110,der. VC,
22,San Diego State,8,S,$7,Prasad,,pass,p,$7,p,P - nugget',
23,Iowa,7,S,$8,Prasad,,pass,p,$8,pass,p,
24,Louisville,4,E,$18,Medlen,,pass,$18,Penistino,pass,pass,
25,Iowa State,3,S,$32,Robbie,,pass,p,this is bullshit,$32,pass,
26,Wyoming,12,E,$3,Raj,,pass,p,dont find you attractive,p,$3,
27,Xavier,6,W,$9,Raj,,pass,p,in the butt,p,$9,
28,Purdue,9,MW,$5,Medlen,,pass,$5,"don't step in it
",p,Fuck Purdue,
29,Kansas,2,MW,$43,Medlen,,pass,$43,corn fuckers,4evveeeer,Pass a stone,
30,Georgia,10,E,$4,Medlen,,pass,$4,"aaahhh, hell no
",pas,Pass a stone,
31,Mississippi/BYU,11,W,$4,Duke,,$4,p,who?,pas,no thanks,
32,Louisiana State,9,E,$7,Prasad,,pass,p,$7,out,no thanks,
33,Butler,6,MW,$9,Raj,,pass,p,"sheeeit
",pas,$9,
34,SMU,6,S,$14,Robbie,,pass,p,lot of hot chicks,$14,pass,
35,Maryland,4,MW,$18,Medlen,,pass,$18,crab stds 5479,p,pass,
36,Wisconsin,1,W,$81,Prasad,,pass,p,$81,pass,pass,
37,North Carolina State,8,E,$8,Prasad,,pass,p,$8,pass,pass,
38,North Carolina,4,W,$30,Raj,,pass,p,shitty titties,pass,$30,
39,Georgetown,4,S,$24,Medlen,,pass,$24,shittier titties,pass,pass,
40,Buffalo,12,MW,$6,Medlen,,pass,$6,niagra vagina,p,titty fart,
41,West Virginia,5,MW,$13,Raj,,"pass
",p,dueling bung holes,make like a tree,$13,
42,Wichita State,7,MW,$17,Medlen,,pass,$17.00,vagita,chicken fajitas,pass,
43,Gonzaga,2,S,$44,Duke,,$44,nope,zaginas,p. the man,pass,
44,Oregon,8,W,$7,Raj,,pass,p,quack attack,flying v,$7,
45,Oklahoma State,9,W,$6,Medlen,,pass,$6,"miles no more
",out,nope,
46,Cincinnati,8,MW,$6,"Raj
",,pass,p,"chilli willy
",meh,$6,
47,Wofford,12,W,$3,Raj,,pass,p,gps?,wawful,$3,
48,Duke,1,S,$73,Prasad,,pass,p,$73,p,p,
49,UCLA,11,S,$7,Raj,,pass,p,"Brown Underwear
",p,$7,
,,,,,,,,,,,,
,Total,,,$944,,,$206,$156,$203,$219,$160,$0
,,,,,,,,,,,,
,,,,,,,$944,,,,,
