,Team,TeamID
0,Villanova,1437
1,Stephen F. Austin,1372
2,Arizona,1112
3,Ohio State,1326
4,Davidson,1172
5,Notre Dame,1323
6,Arkansas,1116
7,Michigan State,1277
8,N. Iowa,1320
9,Oklahoma,1328
10,Providence,1344
11,St. John's,1385
12,Baylor,1124
13,Indiana,1231
14,Field,0
15,Virginia,1438
16,Dayton/Boise St.,0
17,Virginia Commonwealth,1433
18,Texas,1400
19,Utah,1428
20,Kentucky,1246
21,San Diego State,1361
22,Iowa,1234
23,Louisville,1257
24,Iowa State,1235
25,Wyoming,1461
26,Xavier,1462
27,Purdue,1345
28,Kansas,1242
29,Georgia,1208
30,Mississippi/BYU,0
31,Louisiana State,1261
32,Butler,1139
33,SMU,1374
34,Maryland,1268
35,Wisconsin,1458
36,North Carolina State,1301
37,North Carolina,1314
38,Georgetown,1207
39,Buffalo,1138
40,West Virginia,1452
41,Wichita State,1455
42,Gonzaga,1211
43,Oregon,1332
44,Oklahoma State,1329
45,Cincinnati,1153
46,Wofford,1459
47,Duke,1181
48,UCLA,1417
