,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,team0Win,team0,team1,TourneyGame
0,2003,134,1421,92,1411,84,N,1,0,1411,1421,1
1,2003,136,1112,80,1436,51,N,0,1,1112,1436,1
2,2003,136,1113,84,1272,71,N,0,1,1113,1272,1
3,2003,136,1141,79,1166,73,N,0,0,1166,1141,1
4,2003,136,1143,76,1301,74,N,1,1,1143,1301,1
5,2003,136,1163,58,1140,53,N,0,1,1163,1140,1
6,2003,136,1181,67,1161,57,N,0,1,1181,1161,1
7,2003,136,1211,74,1153,69,N,0,1,1211,1153,1
8,2003,136,1228,65,1443,60,N,0,1,1228,1443,1
9,2003,136,1242,64,1429,61,N,0,1,1242,1429,1
10,2003,136,1266,72,1221,68,N,0,1,1266,1221,1
11,2003,136,1281,72,1356,71,N,0,0,1356,1281,1
12,2003,136,1323,70,1454,69,N,0,0,1454,1323,1
13,2003,136,1328,71,1354,54,N,0,1,1328,1354,1
14,2003,136,1390,77,1360,69,N,0,0,1360,1390,1
15,2003,136,1409,84,1173,71,N,0,0,1173,1409,1
16,2003,136,1458,81,1451,74,N,0,0,1451,1458,1
17,2003,137,1120,65,1386,63,N,1,0,1386,1120,1
18,2003,137,1139,47,1280,46,N,0,0,1280,1139,1
19,2003,137,1196,85,1358,55,N,0,1,1196,1358,1
20,2003,137,1231,67,1104,62,N,0,0,1104,1231,1
21,2003,137,1246,95,1237,64,N,0,1,1246,1237,1
22,2003,137,1257,86,1122,64,N,0,1,1257,1122,1
23,2003,137,1268,75,1423,73,N,0,0,1423,1268,1
24,2003,137,1277,79,1160,64,N,0,0,1160,1277,1
25,2003,137,1329,77,1335,63,N,0,1,1329,1335,1
26,2003,137,1338,87,1447,61,N,0,1,1338,1447,1
27,2003,137,1345,80,1261,56,N,0,1,1345,1261,1
28,2003,137,1393,76,1264,65,N,0,1,1393,1264,1
29,2003,137,1400,82,1421,61,N,0,0,1421,1400,1
30,2003,137,1428,60,1332,58,N,0,1,1428,1332,1
31,2003,137,1448,76,1190,73,N,0,0,1190,1448,1
32,2003,137,1462,71,1407,59,N,0,1,1462,1407,1
33,2003,138,1112,96,1211,95,N,2,0,1211,1112,1
34,2003,138,1163,85,1390,74,N,0,1,1163,1390,1
35,2003,138,1181,86,1141,60,N,0,1,1181,1141,1
36,2003,138,1242,108,1113,76,N,0,0,1113,1242,1
37,2003,138,1266,101,1281,92,N,1,1,1266,1281,1
38,2003,138,1323,68,1228,60,N,0,1,1323,1228,1
39,2003,138,1328,74,1143,65,N,0,0,1143,1328,1
40,2003,138,1458,61,1409,60,N,0,0,1409,1458,1
41,2003,139,1120,68,1448,62,N,0,1,1120,1448,1
42,2003,139,1139,79,1257,71,N,0,0,1257,1139,1
43,2003,139,1246,74,1428,54,N,0,1,1246,1428,1
44,2003,139,1268,77,1462,64,N,0,1,1268,1462,1
45,2003,139,1277,68,1196,46,N,0,1,1277,1196,1
46,2003,139,1338,74,1231,52,N,0,1,1338,1231,1
47,2003,139,1393,68,1329,56,N,0,1,1393,1329,1
48,2003,139,1400,77,1345,67,N,0,0,1345,1400,1
49,2003,143,1112,88,1323,71,N,0,1,1112,1323,1
50,2003,143,1242,69,1181,65,N,0,0,1181,1242,1
51,2003,143,1246,63,1458,57,N,0,1,1246,1458,1
52,2003,143,1266,77,1338,74,N,0,1,1266,1338,1
53,2003,144,1277,60,1268,58,N,0,1,1277,1268,1
54,2003,144,1328,65,1139,54,N,0,1,1328,1139,1
55,2003,144,1393,79,1120,78,N,0,0,1120,1393,1
56,2003,144,1400,82,1163,78,N,0,1,1400,1163,1
57,2003,145,1242,78,1112,75,N,0,0,1112,1242,1
58,2003,145,1266,83,1246,69,N,0,0,1246,1266,1
59,2003,146,1393,63,1328,47,N,0,1,1393,1328,1
60,2003,146,1400,85,1277,76,N,0,1,1400,1277,1
61,2003,152,1242,94,1266,61,N,0,0,1266,1242,1
62,2003,152,1393,95,1400,84,N,0,1,1393,1400,1
63,2003,154,1393,81,1242,78,N,0,0,1242,1393,1
64,2004,134,1197,72,1250,57,N,0,1,1197,1250,1
65,2004,136,1104,65,1356,64,N,0,0,1356,1104,1
66,2004,136,1163,70,1436,53,N,0,0,1436,1163,1
67,2004,136,1177,76,1173,69,N,2,0,1173,1177,1
68,2004,136,1181,96,1106,61,N,0,0,1106,1181,1
69,2004,136,1211,76,1434,49,N,0,0,1434,1211,1
70,2004,136,1264,75,1196,60,N,0,1,1264,1196,1
71,2004,136,1268,86,1431,83,N,0,1,1268,1431,1
72,2004,136,1305,72,1277,66,N,0,0,1277,1305,1
73,2004,136,1314,63,1102,52,N,0,0,1102,1314,1
74,2004,136,1371,80,1112,76,N,0,0,1112,1371,1
75,2004,136,1386,82,1251,63,N,0,1,1386,1251,1
76,2004,136,1390,71,1427,45,N,0,1,1390,1427,1
77,2004,136,1393,80,1140,75,N,0,0,1140,1393,1
78,2004,136,1400,66,1343,49,N,0,1,1400,1343,1
79,2004,136,1403,76,1150,73,N,0,0,1150,1403,1
80,2004,136,1448,79,1433,78,N,0,0,1433,1448,1
81,2004,137,1130,58,1428,51,N,0,1,1130,1428,1
82,2004,137,1153,80,1190,77,N,0,0,1190,1153,1
83,2004,137,1210,65,1320,60,N,0,1,1210,1320,1
84,2004,137,1228,72,1293,53,N,0,1,1228,1293,1
85,2004,137,1242,78,1227,53,N,0,1,1242,1227,1
86,2004,137,1246,96,1197,76,N,0,1,1246,1197,1
87,2004,137,1272,59,1376,43,N,0,1,1272,1376,1
88,2004,137,1280,85,1284,52,N,0,1,1280,1284,1
89,2004,137,1301,61,1418,52,N,0,0,1418,1301,1
90,2004,137,1329,75,1186,56,N,0,1,1329,1186,1
91,2004,137,1334,66,1344,58,N,0,1,1334,1344,1
92,2004,137,1338,53,1416,44,N,0,0,1416,1338,1
93,2004,137,1412,102,1449,100,N,0,0,1449,1412,1
94,2004,137,1435,71,1444,58,N,0,1,1435,1444,1
95,2004,137,1458,76,1350,64,N,0,0,1350,1458,1
96,2004,137,1462,80,1257,70,N,0,0,1257,1462,1
97,2004,138,1104,70,1390,67,N,0,1,1104,1390,1
98,2004,138,1163,72,1177,55,N,0,1,1163,1177,1
99,2004,138,1181,90,1371,62,N,0,0,1371,1181,1
100,2004,138,1305,91,1211,72,N,0,1,1305,1211,1
101,2004,138,1386,70,1403,65,N,0,0,1403,1386,1
102,2004,138,1393,72,1268,70,N,0,0,1268,1393,1
103,2004,138,1400,78,1314,75,N,0,1,1400,1314,1
104,2004,138,1448,84,1264,80,N,0,0,1264,1448,1
105,2004,139,1210,57,1130,54,N,0,0,1130,1210,1
106,2004,139,1228,92,1153,68,N,0,0,1153,1228,1
107,2004,139,1242,78,1334,63,N,0,1,1242,1334,1
108,2004,139,1329,70,1272,53,N,0,1,1329,1272,1
109,2004,139,1338,59,1458,55,N,0,0,1458,1338,1
110,2004,139,1412,76,1246,75,N,0,1,1412,1246,1
111,2004,139,1435,75,1301,73,N,0,0,1301,1435,1
112,2004,139,1462,89,1280,74,N,0,0,1280,1462,1
113,2004,143,1104,80,1393,71,N,0,0,1393,1104,1
114,2004,143,1163,73,1435,53,N,0,0,1435,1163,1
115,2004,143,1329,63,1338,51,N,0,0,1338,1329,1
116,2004,143,1386,84,1448,80,N,0,1,1386,1448,1
117,2004,144,1181,72,1228,62,N,0,0,1228,1181,1
118,2004,144,1210,72,1305,67,N,0,1,1210,1305,1
119,2004,144,1242,100,1412,74,N,0,0,1412,1242,1
120,2004,144,1462,79,1400,71,N,0,1,1462,1400,1
121,2004,145,1163,87,1104,71,N,0,1,1163,1104,1
122,2004,145,1329,64,1386,62,N,0,1,1329,1386,1
123,2004,146,1181,66,1462,63,N,0,1,1181,1462,1
124,2004,146,1210,79,1242,71,N,1,1,1210,1242,1
125,2004,152,1163,79,1181,78,N,0,0,1181,1163,1
126,2004,152,1210,67,1329,65,N,0,1,1210,1329,1
127,2004,154,1163,82,1210,73,N,0,1,1163,1210,1
128,2005,134,1324,79,1105,69,N,0,1,1324,1105,1
129,2005,136,1112,66,1429,53,N,0,1,1112,1429,1
130,2005,136,1130,85,1335,65,N,0,0,1335,1130,1
131,2005,136,1153,76,1234,64,N,0,1,1153,1234,1
132,2005,136,1211,74,1457,64,N,0,1,1211,1457,1
133,2005,136,1228,67,1192,55,N,0,0,1192,1228,1
134,2005,136,1246,72,1184,64,N,0,0,1184,1246,1
135,2005,136,1305,61,1400,57,N,0,1,1305,1400,1
136,2005,136,1328,84,1310,67,N,0,0,1310,1328,1
137,2005,136,1334,79,1338,71,N,0,0,1338,1334,1
138,2005,136,1403,78,1417,66,N,0,0,1417,1403,1
139,2005,136,1412,82,1261,68,N,0,0,1261,1412,1
140,2005,136,1428,60,1431,54,N,0,1,1428,1431,1
141,2005,136,1448,70,1151,54,N,0,1,1448,1151,1
142,2005,136,1449,88,1285,77,N,0,0,1285,1449,1
143,2005,136,1452,63,1166,61,N,0,0,1166,1452,1
144,2005,136,1454,83,1104,73,N,0,1,1454,1104,1
145,2005,137,1137,64,1242,63,N,0,0,1242,1137,1
146,2005,137,1163,77,1416,71,N,0,1,1163,1416,1
147,2005,137,1181,57,1175,46,N,0,1,1181,1175,1
148,2005,137,1196,67,1325,62,N,0,1,1196,1325,1
149,2005,137,1210,80,1203,68,N,0,1,1210,1203,1
150,2005,137,1235,64,1278,53,N,0,0,1278,1235,1
151,2005,137,1257,68,1418,62,N,0,0,1418,1257,1
152,2005,137,1277,89,1330,81,N,0,0,1330,1277,1
153,2005,137,1280,93,1390,70,N,0,1,1280,1390,1
154,2005,137,1301,75,1150,63,N,0,0,1150,1301,1
155,2005,137,1314,96,1324,68,N,0,1,1314,1324,1
156,2005,137,1329,63,1368,50,N,0,1,1329,1368,1
157,2005,137,1356,65,1388,56,N,0,1,1356,1388,1
158,2005,137,1436,60,1393,57,N,1,0,1393,1436,1
159,2005,137,1437,55,1307,47,N,0,1,1437,1307,1
160,2005,137,1458,57,1320,52,N,0,0,1320,1458,1
161,2005,138,1112,85,1412,63,N,0,0,1412,1112,1
162,2005,138,1228,71,1305,59,N,0,1,1228,1305,1
163,2005,138,1246,69,1153,60,N,0,0,1153,1246,1
164,2005,138,1403,71,1211,69,N,0,1,1403,1211,1
165,2005,138,1428,67,1328,58,N,0,1,1428,1328,1
166,2005,138,1449,97,1334,79,N,0,0,1334,1449,1
167,2005,138,1452,111,1448,105,N,2,0,1448,1452,1
168,2005,138,1454,83,1130,75,N,0,1,1454,1130,1
169,2005,139,1181,63,1280,55,N,0,0,1280,1181,1
170,2005,139,1257,76,1210,54,N,0,1,1257,1210,1
171,2005,139,1277,72,1436,61,N,0,0,1436,1277,1
