,Id,Pred,Season,team0,team1,wins0,wins1,avg_fgm0,avg_fgm1,std_fgm0,std_fgm1,avg_fga0,avg_fga1,std_fga0,std_fga1,avg_fgm30,avg_fgm31,std_fgm30,std_fgm31,avg_fga30,avg_fga31,std_fga30,std_fga31,avg_ftm0,avg_ftm1,std_ftm0,std_ftm1,avg_fta0,avg_fta1,std_fta0,std_fta1,avg_or0,avg_or1,std_or0,std_or1,avg_dr0,avg_dr1,std_dr0,std_dr1,avg_ast0,avg_ast1,std_ast0,std_ast1,avg_to0,avg_to1,std_to0,std_to1,avg_stl0,avg_stl1,std_stl0,std_stl1,avg_blk0,avg_blk1,std_blk0,std_blk1,avg_pf0,avg_pf1,std_pf0,std_pf1,ftr0,ftr1,efg0,efg1,to_p0,to_p1,orp0,orp1
0,2012_1104_1124,0.5,2012,1104,1124,21,26,23.62,26.09,3.63,4.59,52.31,56.0,6.86,5.36,4.03,6.73,1.86,2.91,14.16,17.85,4.33,4.41,13.66,15.36,5.82,6.71,19.09,20.42,7.28,7.82,10.81,12.12,4.1,3.3,24.38,23.91,3.4,4.8,12.28,14.73,2.64,4.74,12.94,13.85,2.94,3.68,7.31,7.64,3.51,2.89,4.16,4.64,2.68,2.98,18.41,17.64,4.01,4.3,0.38,0.37,0.49,0.53,0.38,0.39,0.33,0.38
1,2012_1104_1125,0.5,2012,1104,1125,21,26,23.62,27.91,3.63,4.93,52.31,58.0,6.86,7.13,4.03,8.82,1.86,3.14,14.16,23.12,4.33,6.44,13.66,16.76,5.82,6.75,19.09,22.73,7.28,8.15,10.81,11.52,4.1,3.13,24.38,24.79,3.4,3.64,12.28,17.33,2.64,5.41,12.94,12.21,2.94,4.42,7.31,7.36,3.51,2.83,4.16,2.24,2.68,1.68,18.41,18.27,4.01,4.01,0.38,0.4,0.49,0.56,0.38,0.3,0.33,0.35
2,2012_1104_1140,0.5,2012,1104,1140,21,23,23.62,27.97,3.63,5.22,52.31,60.03,6.86,8.16,4.03,6.81,1.86,3.74,14.16,19.55,4.33,5.88,13.66,15.61,5.82,7.21,19.09,22.03,7.28,9.43,10.81,10.81,4.1,4.35,24.38,27.1,3.4,6.02,12.28,17.03,2.64,5.4,12.94,12.9,2.94,2.84,7.31,8.32,3.51,3.44,4.16,4.19,2.68,1.72,18.41,18.45,4.01,4.44,0.38,0.38,0.49,0.52,0.38,0.3,0.33,0.3
3,2012_1104_1143,0.5,2012,1104,1143,21,24,23.62,26.42,3.63,4.51,52.31,55.15,6.86,5.3,4.03,4.64,1.86,2.46,14.16,12.61,4.33,3.68,13.66,14.18,5.82,4.08,19.09,19.0,7.28,5.4,10.81,9.97,4.1,3.2,24.38,24.91,3.4,5.6,12.28,16.06,2.64,4.39,12.94,12.24,2.94,3.21,7.31,4.79,3.51,1.67,4.16,3.15,2.68,1.39,18.41,14.39,4.01,3.69,0.38,0.35,0.49,0.52,0.38,0.32,0.33,0.32
4,2012_1104_1153,0.5,2012,1104,1153,21,24,23.62,25.06,3.63,5.14,52.31,59.68,6.86,7.24,4.03,7.15,1.86,3.7,14.16,20.85,4.33,6.36,13.66,11.24,5.82,5.27,19.09,17.53,7.28,6.68,10.81,13.5,4.1,3.73,24.38,22.71,3.4,4.91,12.28,12.97,2.64,4.03,12.94,10.59,2.94,3.76,7.31,8.12,3.51,3.01,4.16,4.59,2.68,2.74,18.41,15.15,4.01,3.21,0.38,0.3,0.49,0.48,0.38,0.28,0.33,0.36
5,2012_1104_1160,0.5,2012,1104,1160,21,21,23.62,22.72,3.63,3.94,52.31,51.69,6.86,5.43,4.03,5.56,1.86,2.45,14.16,16.31,4.33,4.19,13.66,15.28,5.82,5.37,19.09,22.25,7.28,6.35,10.81,9.56,4.1,2.9,24.38,25.25,3.4,5.61,12.28,11.38,2.64,3.43,12.94,12.56,2.94,3.97,7.31,5.88,3.51,2.61,4.16,3.25,2.68,1.65,18.41,17.09,4.01,4.22,0.38,0.44,0.49,0.49,0.38,0.35,0.33,0.29
6,2012_1104_1161,0.5,2012,1104,1161,21,20,23.62,24.13,3.63,4.3,52.31,50.74,6.86,7.11,4.03,6.0,1.86,2.93,14.16,14.81,4.33,4.76,13.66,16.77,5.82,7.1,19.09,21.81,7.28,8.9,10.81,8.19,4.1,3.08,24.38,23.13,3.4,5.12,12.28,12.32,2.64,4.62,12.94,12.45,2.94,3.38,7.31,5.35,3.51,2.37,4.16,1.9,2.68,1.42,18.41,18.84,4.01,3.02,0.38,0.45,0.49,0.54,0.38,0.34,0.33,0.28
7,2012_1104_1163,0.5,2012,1104,1163,21,20,23.62,25.36,3.63,4.2,52.31,55.88,6.86,6.85,4.03,5.39,1.86,2.38,14.16,16.3,4.33,4.42,13.66,12.73,5.82,4.86,19.09,19.24,7.28,6.22,10.81,12.33,4.1,5.44,24.38,25.52,3.4,4.21,12.28,13.61,2.64,4.72,12.94,12.55,2.94,3.63,7.31,5.82,3.51,2.51,4.16,6.91,2.68,2.69,18.41,14.39,4.01,3.33,0.38,0.35,0.49,0.51,0.38,0.35,0.33,0.36
8,2012_1104_1166,0.5,2012,1104,1166,21,28,23.62,28.03,3.63,4.3,52.31,55.06,6.86,6.51,4.03,8.18,1.86,3.29,14.16,19.27,4.33,5.68,13.66,15.79,5.82,5.44,19.09,21.58,7.28,6.8,10.81,9.52,4.1,4.13,24.38,26.64,3.4,4.86,12.28,17.91,2.64,5.89,12.94,12.27,2.94,3.5,7.31,4.79,3.51,2.78,4.16,2.3,2.68,1.65,18.41,17.06,4.01,3.45,0.38,0.4,0.49,0.59,0.38,0.32,0.33,0.31
9,2012_1104_1172,0.5,2012,1104,1172,21,24,23.62,26.48,3.63,3.89,52.31,59.13,6.86,5.64,4.03,7.74,1.86,3.4,14.16,22.74,4.33,6.44,13.66,16.65,5.82,6.56,19.09,21.71,7.28,7.77,10.81,12.29,4.1,3.16,24.38,26.23,3.4,5.02,12.28,13.55,2.64,4.11,12.94,11.9,2.94,3.88,7.31,5.42,3.51,1.86,4.16,3.45,2.68,2.0,18.41,20.45,4.01,4.19,0.38,0.38,0.49,0.51,0.38,0.29,0.33,0.35
10,2012_1104_1178,0.5,2012,1104,1178,21,20,23.62,24.3,3.63,4.3,52.31,54.67,6.86,6.06,4.03,4.45,1.86,2.56,14.16,15.06,4.33,3.72,13.66,17.82,5.82,5.19,19.09,24.06,7.28,6.88,10.81,11.73,4.1,3.92,24.38,21.58,3.4,3.64,12.28,12.58,2.64,3.35,12.94,12.76,2.94,3.56,7.31,7.3,3.51,2.82,4.16,4.48,2.68,1.92,18.41,19.27,4.01,3.25,0.38,0.45,0.49,0.49,0.38,0.34,0.33,0.35
11,2012_1104_1181,0.5,2012,1104,1181,21,27,23.62,25.76,3.63,4.12,52.31,56.27,6.86,6.41,4.03,8.12,1.86,2.86,14.16,21.61,4.33,4.94,13.66,17.88,5.82,6.09,19.09,25.48,7.28,8.09,10.81,11.91,4.1,3.57,24.38,24.67,3.4,4.76,12.28,12.45,2.64,3.71,12.94,12.18,2.94,3.56,7.31,6.24,3.51,2.42,4.16,4.03,2.68,2.48,18.41,18.18,4.01,3.43,0.38,0.46,0.49,0.53,0.38,0.3,0.33,0.34
