,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf,team0Win,team0,team1,wins0,wins1,avg_fgm0,avg_fgm1,std_fgm0,std_fgm1,avg_fga0,avg_fga1,std_fga0,std_fga1,avg_fgm30,avg_fgm31,std_fgm30,std_fgm31,avg_fga30,avg_fga31,std_fga30,std_fga31,avg_ftm0,avg_ftm1,std_ftm0,std_ftm1,avg_fta0,avg_fta1,std_fta0,std_fta1,avg_or0,avg_or1,std_or0,std_or1,avg_dr0,avg_dr1,std_dr0,std_dr1,avg_ast0,avg_ast1,std_ast0,std_ast1,avg_to0,avg_to1,std_to0,std_to1,avg_stl0,avg_stl1,std_stl0,std_stl1,avg_blk0,avg_blk1,std_blk0,std_blk1,avg_pf0,avg_pf1,std_pf0,std_pf1,ftr0,ftr1,efg0,efg1,to_p0,to_p1,orp0,orp1,SAG0,MOR0,BOB0,WOL0,WLK0,POM0,DOL0,COL0,RTH0,RPI0,SAG1,MOR1,BOB1,WOL1,WLK1,POM1,DOL1,COL1,RTH1,RPI1,SAG_rating0,SAG_rating1,MOR_rating0,MOR_rating1,BOB_rating0,BOB_rating1,WOL_rating0,WOL_rating1,WLK_rating0,WLK_rating1,POM_rating0,POM_rating1,DOL_rating0,DOL_rating1,COL_rating0,COL_rating1,RTH_rating0,RTH_rating1,RPI_rating0,RPI_rating1,dSAG,dSAG_rating,dMOR,dMOR_rating,dBOB,dBOB_rating,dWOL,dWOL_rating,dWLK,dWLK_rating,dPOM,dPOM_rating,dDOL,dDOL_rating,dCOL,dCOL_rating,dRTH,dRTH_rating,dRPI,dRPI_rating
0,2003,134,1421,92,1411,84,N,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22,0,1411,1421,18,13,24.73,24.38,4.9,4.1,55.27,56.79,8.71,7.42,5.93,6.48,2.82,2.2,18.5,18.0,5.99,3.94,17.4,15.97,6.61,7.31,28.07,20.93,8.2,9.02,13.17,12.28,4.86,3.73,24.8,23.17,5.55,5.44,14.2,13.03,4.4,4.79,15.23,16.21,4.03,5.0,6.43,7.07,2.31,3.14,2.23,3.0,1.72,1.65,18.3,19.1,4.56,3.69,0.53,0.38,0.5,0.49,0.43,0.49,0.36,0.35,257.0,293.0,239.0,246.0,240.0,268.0,239.0,212.0,256.0,217.0,251.0,277.0,236.0,220.0,237.0,273.0,258.0,213.0,250.0,186.0,66.1063434785,66.4731927409,63.9474991125,64.8986064543,67.213807943,67.4004867082,66.7806284717,68.4073491939,67.1517213569,67.3381900326,65.4393362998,65.1383966654,67.213807943,66.0454150259,68.9184677008,68.8542777581,66.1673320241,66.5345518798,68.5983833852,70.621020078,6.0,-0.366849262368,16.0,-0.951107341865,3.0,-0.186678765191,26.0,-1.62672072226,3.0,-0.18646867564,-5.0,0.300939634418,-19.0,1.16839291707,-1.0,0.0641899427042,6.0,-0.367219855781,31.0,-2.02263669283
1,2003,136,1112,80,1436,51,N,0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15,1,1112,1436,25,19,30.32,24.83,3.94,5.3,65.71,55.86,7.25,7.06,7.04,5.28,2.6,1.96,20.07,15.48,4.89,5.94,17.54,12.86,5.08,5.11,25.0,19.55,6.27,6.45,15.18,12.97,3.4,3.54,27.64,25.72,4.29,3.68,17.64,14.21,4.34,4.86,14.79,14.07,4.46,3.48,8.46,6.86,3.65,3.5,4.21,2.97,2.01,1.72,17.75,15.9,2.99,4.05,0.39,0.36,0.52,0.49,0.34,0.41,0.39,0.38,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,158.0,187.0,158.0,177.0,153.0,144.0,156.0,144.0,182.0,144.0,95.5146417544,72.5425650093,93.3804301684,70.5542321487,95.5146417544,72.5425650093,95.5146417544,71.2274112534,95.5146417544,72.8976441358,94.3184589192,73.5476104849,95.5146417544,72.6841076877,95.5146417544,73.5476104849,95.5146417544,70.8893281159,95.5146417544,73.5476104849,-156.0,22.9720767451,-183.0,22.8261980198,-156.0,22.9720767451,-175.0,24.287230501,-151.0,22.6169976186,-141.0,20.7708484343,-154.0,22.8305340667,-142.0,21.9670312696,-180.0,24.6253136385,-142.0,21.9670312696
2,2003,136,1113,84,1272,71,N,0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18,1,1113,1272,18,23,27.21,26.28,4.65,4.61,56.9,60.0,6.35,7.3,4.0,7.0,1.6,3.33,12.59,20.07,3.91,5.55,17.55,14.97,5.98,7.55,26.21,22.9,9.17,10.73,13.69,14.07,4.89,4.93,23.31,25.97,4.54,3.83,15.55,16.62,3.89,4.75,14.0,13.79,3.39,4.04,5.21,7.38,2.14,3.16,4.24,5.07,2.94,3.16,19.41,18.76,3.25,4.34,0.47,0.4,0.52,0.5,0.37,0.35,0.4,0.37,32.0,22.0,33.0,39.0,34.0,32.0,48.0,38.0,35.0,32.0,24.0,23.0,22.0,19.0,21.0,20.0,21.0,19.0,19.0,26.0,84.5594242996,86.0335876096,86.4580231363,86.2423301332,84.3945579015,86.4580231363,83.4717549108,87.1534345421,84.2331532086,86.681284732,84.5594242996,86.91281934,82.2509006257,86.681284732,83.6184806882,87.1534345421,84.0750151553,87.1534345421,84.5594242996,85.6348343542,8.0,-1.47416331003,-1.0,0.21569300313,11.0,-2.06346523475,20.0,-3.68167963133,13.0,-2.44813152343,12.0,-2.35339504043,27.0,-4.43038410628,19.0,-3.53495385394,16.0,-3.07841938688,6.0,-1.07541005458
3,2003,136,1141,79,1166,73,N,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21,0,1166,1141,29,23,28.7,26.62,5.28,5.09,57.45,52.69,5.07,5.73,7.97,6.83,3.03,3.04,20.48,17.93,4.29,4.75,13.88,19.28,5.26,6.18,20.03,25.17,6.68,7.31,10.88,10.59,2.77,3.48,23.18,23.28,3.45,4.37,16.82,15.62,5.09,4.96,13.36,18.24,3.33,3.25,8.39,7.1,2.82,2.94,4.45,4.0,2.22,2.35,17.27,20.97,3.12,4.81,0.35,0.48,0.57,0.57,0.35,0.57,0.34,0.36,18.0,33.0,24.0,17.0,19.0,27.0,18.0,18.0,22.0,23.0,48.0,50.0,49.0,49.0,32.0,50.0,37.0,35.0,55.0,44.0,87.4040622652,82.2509006257,84.3945579015,81.9999701964,86.0335876096,82.124635251,87.6657856957,82.124635251,87.1534345421,84.5594242996,85.443909232,81.9999701964,87.4040622652,83.7678371793,87.4040622652,84.0750151553,86.4580231363,81.3985932371,86.2423301332,82.7733500409,-30.0,5.15316163941,-17.0,2.39458770516,-25.0,3.9089523586,-32.0,5.54115044467,-13.0,2.59401024256,-23.0,3.44393903565,-19.0,3.63622508588,-17.0,3.32904710989,-33.0,5.05942989922,-21.0,3.46898009223
4,2003,136,1143,76,1301,74,N,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19,1,1143,1301,21,18,27.34,24.33,3.54,4.4,58.72,53.33,7.86,6.51,6.41,7.97,2.54,3.05,17.03,22.5,4.62,5.56,13.38,15.77,5.75,5.73,19.52,20.47,7.4,7.46,11.24,9.73,3.9,3.75,24.38,22.03,5.51,4.37,16.0,14.67,4.14,5.0,14.17,14.2,4.46,3.72,6.55,7.77,2.64,3.63,2.79,3.07,1.63,2.49,17.1,18.67,3.74,4.21,0.35,0.39,0.52,0.53,0.38,0.41,0.32,0.31,40.0,43.0,32.0,26.0,33.0,40.0,25.0,28.0,30.0,33.0,46.0,31.0,47.0,47.0,51.0,48.0,49.0,56.0,42.0,53.0,83.327529915,82.5085005023,82.9086960098,84.7279654797,84.5594242996,82.37883232,85.6348343542,82.37883232,84.3945579015,81.8768433075,83.327529915,82.2509006257,85.8312502116,82.124635251,85.2580894073,81.2823403832,84.9004148184,83.0461086281,84.3945579015,81.6349729047,-6.0,0.81902941275,12.0,-1.81926946993,-15.0,2.18059197958,-21.0,3.25600203416,-18.0,2.51771459404,-8.0,1.07662928926,-24.0,3.70661496054,-28.0,3.97574902412,-12.0,1.85430619029,-20.0,2.75958499688
5,2003,136,1163,58,1140,53,N,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22,1,1163,1140,21,23,29.53,24.03,6.55,3.84,62.2,51.26,9.15,6.53,6.07,6.19,2.6,2.71,15.7,16.13,3.59,3.76,14.9,18.19,6.48,5.12,22.1,24.16,8.39,6.38,14.77,10.87,4.42,3.77,27.9,24.42,5.04,4.62,15.63,13.42,5.89,4.26,15.8,13.74,3.74,4.19,5.93,6.94,2.57,2.68,7.73,2.52,3.53,1.65,18.4,21.42,3.52,3.71,0.36,0.48,0.52,0.53,0.43,0.43,0.4,0.34,23.0,17.0,31.0,32.0,26.0,23.0,26.0,30.0,27.0,28.0,28.0,42.0,26.0,30.0,25.0,26.0,36.0,23.0,33.0,19.0,86.2423301332,85.2580894073,87.6657856957,83.0461086281,84.7279654797,85.6348343542,84.5594242996,84.9004148184,85.6348343542,85.8312502116,86.2423301332,85.6348343542,85.6348343542,83.9199647131,84.9004148184,86.2423301332,85.443909232,84.3945579015,85.2580894073,87.1534345421,-5.0,0.984240725827,-25.0,4.61967706755,5.0,-0.906868874454,2.0,-0.340990518834,1.0,-0.196415857386,-3.0,0.607495778989,-10.0,1.71486964111,7.0,-1.34191531473,-6.0,1.04935133049,9.0,-1.89534513482
6,2003,136,1181,67,1161,57,N,0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19,1,1181,1161,24,17,27.37,26.4,3.23,4.86,60.33,52.1,7.83,7.64,7.33,4.2,2.7,2.16,20.6,11.57,6.26,3.19,19.9,17.0,7.97,7.33,28.07,24.27,9.19,9.33,13.77,10.8,4.61,3.37,23.1,23.47,4.79,5.98,13.83,15.5,3.61,5.56,14.03,16.13,2.79,4.64,8.5,5.33,3.19,2.34,5.13,4.23,2.71,2.43,21.27,20.57,5.14,3.8,0.47,0.48,0.52,0.55,0.33,0.54,0.38,0.36,10.0,10.0,9.0,9.0,5.0,8.0,9.0,11.0,4.0,12.0,89.0,85.0,76.0,76.0,92.0,87.0,91.0,75.0,81.0,75.0,89.9538734543,77.9553067732,89.9538734543,78.3189744513,90.3805687189,79.170232858,90.3805687189,79.170232858,92.6056893958,77.6877838456,90.847465327,78.1361072875,90.3805687189,77.7764820554,89.5603734008,79.2679757298,93.3804301684,78.6913048291,89.1947480247,79.2679757298,-79.0,11.998566681,-75.0,11.6348990029,-67.0,11.2103358609,-67.0,11.2103358609,-87.0,14.9179055502,-79.0,12.7113580395,-82.0,12.6040866635,-64.0,10.2923976711,-77.0,14.6891253393,-63.0,9.92677229494
7,2003,136,1211,74,1153,69,N,0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24,1,1211,1153,23,17,26.06,22.89,4.99,4.3,55.45,56.68,6.68,5.58,7.16,6.68,2.91,2.33,19.06,19.5,4.77,4.04,17.77,14.86,7.47,7.67,24.65,21.54,9.54,9.78,11.94,12.14,3.99,3.36,25.32,23.39,4.69,4.9,15.74,12.29,4.53,4.28,14.55,10.61,3.24,4.13,6.81,5.18,3.48,2.96,3.52,4.25,1.9,2.12,18.65,18.96,3.38,4.84,0.46,0.38,0.54,0.47,0.39,0.26,0.36,0.33,39.0,54.0,42.0,43.0,38.0,41.0,50.0,40.0,45.0,43.0,42.0,39.0,40.0,45.0,45.0,35.0,54.0,46.0,41.0,29.0,83.4717549108,83.0461086281,81.5161218045,83.4717549108,83.0461086281,83.327529915,82.9086960098,82.6399798686,83.6184806882,82.6399798686,83.1856851632,84.0750151553,81.9999701964,81.5161218045,83.327529915,82.5085005023,82.6399798686,83.1856851632,82.9086960098,85.0770286552,-3.0,0.425646282682,15.0,-1.95563310629,2.0,-0.281421286866,-2.0,0.268716141192,-7.0,0.97850081962,6.0,-0.889329992036,-4.0,0.483848391851,-6.0,0.81902941275,4.0,-0.545705294641,14.0,-2.16833264539
8,2003,136,1228,65,1443,60,N,0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16,1,1228,1443,24,23,27.1,25.71,5.12,3.69,55.8,55.9,6.4,8.3,7.43,7.71,2.33,2.96,20.17,21.03,5.33,7.56,13.8,13.97,5.72,7.32,19.1,21.1,7.06,10.91,9.73,12.16,4.43,4.29,25.4,23.26,4.08,5.69,18.27,14.19,3.96,3.11,13.17,15.16,3.81,4.23,7.0,7.06,2.99,3.02,3.1,3.55,2.09,2.32,19.13,18.45,4.21,4.71,0.35,0.4,0.55,0.53,0.34,0.44,0.31,0.36,11.0,5.0,11.0,14.0,10.0,5.0,12.0,15.0,11.0,18.0,60.0,59.0,63.0,63.0,53.0,52.0,55.0,53.0,69.0,58.0,89.5603734008,80.829231816,92.6056893958,80.9408035693,89.5603734008,80.5008313029,88.5314355592,80.5008313029,89.9538734543,81.6349729047,92.6056893958,81.7551959822,89.1947480247,81.3985932371,88.2278269292,81.6349729047,89.5603734008,79.8696553954,87.4040622652,81.053486588,-49.0,8.73114158481,-54.0,11.6648858265,-52.0,9.05954209792,-49.0,8.0306042563,-43.0,8.31890054961,-47.0,10.8504934137,-43.0,7.79615478764,-38.0,6.59285402457,-58.0,9.69071800541,-40.0,6.35057567714
9,2003,136,1242,64,1429,61,N,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15,1,1242,1429,23,22,30.23,23.7,5.38,3.97,62.3,51.93,6.51,5.39,4.8,4.03,2.11,2.06,14.13,12.13,4.71,3.91,16.07,14.53,5.63,4.74,24.13,20.23,7.91,5.33,14.3,12.63,4.76,4.69,26.9,22.37,4.77,4.24,16.73,13.9,5.34,3.84,14.9,12.23,3.83,3.19,10.13,5.07,4.01,2.66,4.9,2.0,2.51,1.44,16.7,16.1,4.0,3.38,0.39,0.39,0.53,0.5,0.37,0.37,0.38,0.39,4.0,2.0,4.0,12.0,4.0,4.0,11.0,7.0,5.0,6.0,101.0,128.0,93.0,95.0,89.0,109.0,89.0,74.0,112.0,79.0,93.3804301684,76.909199656,95.5146417544,74.7425685644,93.3804301684,77.5995481436,89.1947480247,77.4244254159,93.3804301684,77.9553067732,93.3804301684,76.2435330823,89.5603734008,77.9553067732,91.3640520151,79.3664111822,92.6056893958,75.9995396342,91.9436321311,78.8809843704,-97.0,16.4712305125,-126.0,20.77207319,-89.0,15.7808820248,-83.0,11.7703226088,-85.0,15.4251233952,-105.0,17.1368970862,-78.0,11.6050666276,-67.0,11.9976408329,-107.0,16.6061497616,-73.0,13.0626477607
