Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
1,Ohio,St.,1,B10,34-3,.9663,123.3,1,92.1,16,65.1,249
2,Kansas,1,B12,35-3,.9409,116.2,7,91.3,11,69.3,53,+.061
3,Pittsburgh,1,BE,28-6,.9383,117.9,4,93.0,22,62.9,318,-.022
4,Duke,1,ACC,32-5,.9379,117.7,5,93.0,21,69.3,51,+.018
5,Kentucky,4,SEC,29-9,.9326,115.6,10,92.0,15,65.9,210,-.043
6,Texas,4,B12,28-8,.9322,113.9,20,90.7,7,66.8,161,-.058
7,San,Diego,St.,2,MWC,34-3,.9299,111.5,32,89.1,2,63.7
8,Wisconsin,4,B10,25-9,.9274,119.8,3,96.0,53,57.9,344,-.003
9,Connecticut,3,BE,32-9,.9261,114.2,18,91.7,13,65.4,240,+.049
10,Purdue,3,B10,26-8,.9150,114.3,15,92.9,20,67.1,148,+.008
11,Notre,Dame,2,BE,27-7,.9110,119.9,2,97.9,78,64.5,273
12,Louisville,4,BE,25-10,.9078,108.8,55,89.2,3,67.9,102,-.037
13,BYU,3,MWC,32-5,.9068,115.5,11,94.8,38,71.3,19,+.056
14,North,Carolina,2,ACC,29-8,.9036,109.8,49,90.4,4,71.7,16
15,Syracuse,3,BE,27-8,.8957,111.7,29,92.7,18,66.5,177,+.033
16,Florida,2,SEC,29-8,.8936,114.2,17,94.9,41,64.0,290,+.037
17,Utah,St.,12,WAC,30-4,.8816,108.5,60,91.1,9,63.6,306
18,West,Virginia,5,BE,21-12,.8816,112.8,22,94.7,36,63.8,298
19,Illinois,9,B10,20-14,.8801,110.3,44,92.8,19,66.4,183,-.073
20,Washington,7,P10,24-11,.8779,114.2,16,96.2,57,71.1,23,-.099
21,Cincinnati,6,BE,26-9,.8779,109.0,53,91.8,14,63.8,299,+.041
22,Clemson,12,ACC,22-12,.8762,108.1,64,91.2,10,65.3,245,-.088
23,Arizona,5,P10,30-8,.8733,116.1,8,98.1,88,66.2,194,+.065
24,George,Mason,8,CAA,27-7,.8725,112.6,24,95.2,48,65.7,223
25,Wichita,St.,MVC,29-8,.8678,111.7,30,94.9,40,65.6,232,-.041
26,Michigan,8,B10,21-14,.8614,111.1,35,94.7,37,62.7,323,-.014
27,Belmont,13,ASun,30-5,.8563,109.4,52,93.7,28,69.1,58,-.006
28,Kansas,St.,5,B12,23-11,.8558,109.0,54,93.4,25,68.0,100
29,Florida,St.,10,ACC,23-11,.8558,102.1,156,87.5,1,68.4,78
30,Marquette,11,BE,22-15,.8541,113.0,21,96.9,66,67.4,129,-.057
31,Temple,7,A10,26-8,.8467,108.6,59,93.6,27,65.0,254,+.014
32,UNLV,8,MWC,24-9,.8459,108.0,67,93.2,24,67.8,110,+.004
33,Butler,8,Horz,28-10,.8395,109.8,48,95.1,44,64.4,277,+.034
34,Villanova,9,BE,21-12,.8394,112.6,23,97.5,74,66.1,204,-.040
35,Gonzaga,11,WCC,25-10,.8365,110.4,42,95.8,51,67.4,127,-.007
36,Georgetown,6,BE,21-11,.8361,110.7,39,96.1,56,64.9,259,+.048
37,St.,John's,6,BE,21-12,.8348,109.6,51,95.2,45,67.3,136
38,Old,Dominion,9,CAA,27-7,.8345,108.7,57,94.4,33,61.4,331
39,Xavier,6,A10,24-8,.8343,110.4,41,96.0,52,65.9,212,+.037
40,Richmond,12,A10,29-8,.8343,110.9,36,96.3,59,62.9,319,+.053
Strength,of,Schedule,NCSOS,,,,,,,,,
Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
41,Vanderbilt,5,SEC,23-11,.8278,115.1,12,100.4,129,67.2,138,-.050
42,VCU,11,CAA,28-12,.8268,112.3,25,98.0,84,66.2,196,+.021
43,Penn,St.,10,B10,19-15,.8241,110.8,38,96.8,65,60.4,341
44,New,Mexico,MWC,22-13,.8206,110.8,37,97.1,67,65.9,213,-.069
45,Virginia,Tech,ACC,22-12,.8195,106.7,79,93.5,26,65.1,251,-.029
46,Michigan,St.,10,B10,19-15,.8151,106.8,76,93.9,30,66.3,189
47,Alabama,SEC,25-12,.8145,103.1,134,90.6,6,64.9,257,-.002,190
48,Missouri,11,B12,23-11,.8107,111.2,33,98.0,82,72.0,14,-.013
49,Texas,A&M,7,B12,24-9,.8048,106.8,77,94.4,34,62.2,326
50,Northwestern,B10,20-14,.8044,114.2,19,101.0,137,64.0,291,+.008,159
51,Colorado,B12,24-14,.7963,116.0,9,103.1,199,67.9,104,-.026,246
52,Seton,Hall,BE,13-18,.7952,102.4,151,91.0,8,69.1,57,-.117
53,UCLA,7,P10,23-11,.7940,106.1,89,94.3,32,66.5,173,+.033
54,Saint,Mary's,WCC,25-9,.7914,114.5,13,101.9,166,66.1,200,-.025
55,Maryland,ACC,19-14,.7881,106.7,78,95.2,46,71.2,21,-.091,330
56,USC,11,P10,19-15,.7863,105.1,100,93.8,29,63.1,313,-.050
57,Oakland,13,Sum,25-10,.7825,116.7,6,104.4,232,72.7,8,+.022
58,Minnesota,B10,17-14,.7776,107.9,69,96.8,64,66.2,192,-.018,228
59,Georgia,10,SEC,21-12,.7762,106.3,85,95.4,49,64.5,275,-.003
60,Duquesne,A10,19-13,.7727,105.7,92,95.1,43,72.1,13,-.148,344
61,Miami,FL,ACC,21-15,.7714,110.6,40,99.5,109,65.5,236,-.050
62,Washington,St.,P10,22-13,.7635,105.7,93,95.5,50,68.5,70,+.002
63,Tennessee,9,SEC,19-15,.7609,105.0,101,95.0,42,67.3,135,-.013
64,Nebraska,B12,19-13,.7598,103.0,137,93.1,23,63.6,308,-.048,291
65,UAB,12,CUSA,22-9,.7598,106.1,86,96.0,54,63.1,314,+.024
66,Iona,MAAC,25-12,.7583,111.9,27,101.3,146,69.3,49,-.086,328
67,Boston,College,ACC,21-13,.7431,114.3,14,104.2,226,63.9,293,+.047
68,Cleveland,St.,Horz,27-9,.7386,107.0,74,97.7,76,66.6,172,+.032
69,Harvard,Ivy,23-7,.7380,111.2,34,101.6,156,64.2,282,+.051,54
70,UTEP,CUSA,25-10,.7361,102.9,140,94.1,31,67.7,113,-.009,201
71,Missouri,St.,MVC,26-9,.7344,111.6,31,102.2,171,63.5,309,+.025
72,College,of,Charleston,SC,26-11,.7339,111.7,28,102.3,175,67.5,124
73,Oklahoma,St.,B12,20-14,.7335,104.0,114,95.2,47,65.9,216,+.041
74,California,P10,18-15,.7284,108.7,56,99.8,117,68.8,66,+.036,87
75,Princeton,13,Ivy,25-7,.7246,105.3,97,96.8,63,63.8,300,+.091
76,Rutgers,BE,15-17,.7208,106.5,82,98.0,85,64.1,284,-.052,299
77,Southern,Miss,CUSA,22-10,.7197,110.4,43,101.7,158,65.5,235,-.024
78,Colorado,St.,MWC,19-13,.7105,105.9,91,98.0,81,67.2,145,+.003
