,Id,Pred,Season,team0,team1,wins0,wins1
0,2012_1104_1124,0.5,2012,1104,1124,21,26
1,2012_1104_1125,0.5,2012,1104,1125,21,26
2,2012_1104_1140,0.5,2012,1104,1140,21,23
3,2012_1104_1143,0.5,2012,1104,1143,21,24
4,2012_1104_1153,0.5,2012,1104,1153,21,24
5,2012_1104_1160,0.5,2012,1104,1160,21,21
6,2012_1104_1161,0.5,2012,1104,1161,21,20
7,2012_1104_1163,0.5,2012,1104,1163,21,20
8,2012_1104_1166,0.5,2012,1104,1166,21,28
9,2012_1104_1172,0.5,2012,1104,1172,21,24
10,2012_1104_1178,0.5,2012,1104,1178,21,20
11,2012_1104_1181,0.5,2012,1104,1181,21,27
12,2012_1104_1196,0.5,2012,1104,1196,21,23
13,2012_1104_1199,0.5,2012,1104,1199,21,24
14,2012_1104_1207,0.5,2012,1104,1207,21,22
15,2012_1104_1211,0.5,2012,1104,1211,21,25
16,2012_1104_1217,0.5,2012,1104,1217,21,25
17,2012_1104_1231,0.5,2012,1104,1231,21,25
18,2012_1104_1233,0.5,2012,1104,1233,21,25
19,2012_1104_1235,0.5,2012,1104,1235,21,22
20,2012_1104_1242,0.5,2012,1104,1242,21,27
21,2012_1104_1243,0.5,2012,1104,1243,21,21
22,2012_1104_1246,0.5,2012,1104,1246,21,32
23,2012_1104_1249,0.5,2012,1104,1249,21,21
24,2012_1104_1250,0.5,2012,1104,1250,21,25
25,2012_1104_1253,0.5,2012,1104,1253,21,23
26,2012_1104_1254,0.5,2012,1104,1254,21,25
27,2012_1104_1257,0.5,2012,1104,1257,21,26
28,2012_1104_1259,0.5,2012,1104,1259,21,24
29,2012_1104_1266,0.5,2012,1104,1266,21,25
30,2012_1104_1272,0.5,2012,1104,1272,21,26
31,2012_1104_1276,0.5,2012,1104,1276,21,23
32,2012_1104_1277,0.5,2012,1104,1277,21,27
33,2012_1104_1281,0.5,2012,1104,1281,21,30
34,2012_1104_1285,0.5,2012,1104,1285,21,23
35,2012_1104_1290,0.5,2012,1104,1290,21,21
36,2012_1104_1293,0.5,2012,1104,1293,21,27
37,2012_1104_1301,0.5,2012,1104,1301,21,22
38,2012_1104_1307,0.5,2012,1104,1307,21,26
39,2012_1104_1308,0.5,2012,1104,1308,21,24
40,2012_1104_1313,0.5,2012,1104,1313,21,24
41,2012_1104_1314,0.5,2012,1104,1314,21,29
42,2012_1104_1323,0.5,2012,1104,1323,21,22
43,2012_1104_1325,0.5,2012,1104,1325,21,26
44,2012_1104_1326,0.5,2012,1104,1326,21,27
45,2012_1104_1345,0.5,2012,1104,1345,21,21
46,2012_1104_1355,0.5,2012,1104,1355,21,25
47,2012_1104_1361,0.5,2012,1104,1361,21,24
48,2012_1104_1378,0.5,2012,1104,1378,21,19
49,2012_1104_1379,0.5,2012,1104,1379,21,23
50,2012_1104_1382,0.5,2012,1104,1382,21,20
51,2012_1104_1387,0.5,2012,1104,1387,21,24
52,2012_1104_1388,0.5,2012,1104,1388,21,25
53,2012_1104_1393,0.5,2012,1104,1393,21,31
54,2012_1104_1396,0.5,2012,1104,1396,21,24
55,2012_1104_1400,0.5,2012,1104,1400,21,20
56,2012_1104_1421,0.5,2012,1104,1421,21,21
57,2012_1104_1424,0.5,2012,1104,1424,21,24
58,2012_1104_1433,0.5,2012,1104,1433,21,28
59,2012_1104_1435,0.5,2012,1104,1435,21,24
60,2012_1104_1436,0.5,2012,1104,1436,21,23
61,2012_1104_1438,0.5,2012,1104,1438,21,22
62,2012_1104_1443,0.5,2012,1104,1443,21,15
63,2012_1104_1452,0.5,2012,1104,1452,21,19
64,2012_1104_1455,0.5,2012,1104,1455,21,26
65,2012_1104_1458,0.5,2012,1104,1458,21,24
66,2012_1104_1462,0.5,2012,1104,1462,21,21
67,2012_1124_1125,0.5,2012,1124,1125,26,26
68,2012_1124_1140,0.5,2012,1124,1140,26,23
69,2012_1124_1143,0.5,2012,1124,1143,26,24
70,2012_1124_1153,0.5,2012,1124,1153,26,24
71,2012_1124_1160,0.5,2012,1124,1160,26,21
72,2012_1124_1161,0.5,2012,1124,1161,26,20
73,2012_1124_1163,0.5,2012,1124,1163,26,20
74,2012_1124_1166,0.5,2012,1124,1166,26,28
75,2012_1124_1172,0.5,2012,1124,1172,26,24
76,2012_1124_1178,0.5,2012,1124,1178,26,20
77,2012_1124_1181,0.5,2012,1124,1181,26,27
78,2012_1124_1196,0.5,2012,1124,1196,26,23
79,2012_1124_1199,0.5,2012,1124,1199,26,24
80,2012_1124_1207,0.5,2012,1124,1207,26,22
81,2012_1124_1211,0.5,2012,1124,1211,26,25
82,2012_1124_1217,0.5,2012,1124,1217,26,25
83,2012_1124_1231,0.5,2012,1124,1231,26,25
84,2012_1124_1233,0.5,2012,1124,1233,26,25
85,2012_1124_1235,0.5,2012,1124,1235,26,22
86,2012_1124_1242,0.5,2012,1124,1242,26,27
87,2012_1124_1243,0.5,2012,1124,1243,26,21
88,2012_1124_1246,0.5,2012,1124,1246,26,32
89,2012_1124_1249,0.5,2012,1124,1249,26,21
90,2012_1124_1250,0.5,2012,1124,1250,26,25
91,2012_1124_1253,0.5,2012,1124,1253,26,23
92,2012_1124_1254,0.5,2012,1124,1254,26,25
93,2012_1124_1257,0.5,2012,1124,1257,26,26
94,2012_1124_1259,0.5,2012,1124,1259,26,24
95,2012_1124_1266,0.5,2012,1124,1266,26,25
96,2012_1124_1272,0.5,2012,1124,1272,26,26
97,2012_1124_1276,0.5,2012,1124,1276,26,23
98,2012_1124_1277,0.5,2012,1124,1277,26,27
99,2012_1124_1281,0.5,2012,1124,1281,26,30
100,2012_1124_1285,0.5,2012,1124,1285,26,23
101,2012_1124_1290,0.5,2012,1124,1290,26,21
102,2012_1124_1293,0.5,2012,1124,1293,26,27
103,2012_1124_1301,0.5,2012,1124,1301,26,22
104,2012_1124_1307,0.5,2012,1124,1307,26,26
105,2012_1124_1308,0.5,2012,1124,1308,26,24
106,2012_1124_1313,0.5,2012,1124,1313,26,24
107,2012_1124_1314,0.5,2012,1124,1314,26,29
108,2012_1124_1323,0.5,2012,1124,1323,26,22
109,2012_1124_1325,0.5,2012,1124,1325,26,26
110,2012_1124_1326,0.5,2012,1124,1326,26,27
111,2012_1124_1345,0.5,2012,1124,1345,26,21
112,2012_1124_1355,0.5,2012,1124,1355,26,25
113,2012_1124_1361,0.5,2012,1124,1361,26,24
114,2012_1124_1378,0.5,2012,1124,1378,26,19
115,2012_1124_1379,0.5,2012,1124,1379,26,23
116,2012_1124_1382,0.5,2012,1124,1382,26,20
117,2012_1124_1387,0.5,2012,1124,1387,26,24
118,2012_1124_1388,0.5,2012,1124,1388,26,25
119,2012_1124_1393,0.5,2012,1124,1393,26,31
120,2012_1124_1396,0.5,2012,1124,1396,26,24
121,2012_1124_1400,0.5,2012,1124,1400,26,20
122,2012_1124_1421,0.5,2012,1124,1421,26,21
123,2012_1124_1424,0.5,2012,1124,1424,26,24
124,2012_1124_1433,0.5,2012,1124,1433,26,28
125,2012_1124_1435,0.5,2012,1124,1435,26,24
126,2012_1124_1436,0.5,2012,1124,1436,26,23
127,2012_1124_1438,0.5,2012,1124,1438,26,22
128,2012_1124_1443,0.5,2012,1124,1443,26,15
129,2012_1124_1452,0.5,2012,1124,1452,26,19
130,2012_1124_1455,0.5,2012,1124,1455,26,26
131,2012_1124_1458,0.5,2012,1124,1458,26,24
132,2012_1124_1462,0.5,2012,1124,1462,26,21
133,2012_1125_1140,0.5,2012,1125,1140,26,23
134,2012_1125_1143,0.5,2012,1125,1143,26,24
135,2012_1125_1153,0.5,2012,1125,1153,26,24
136,2012_1125_1160,0.5,2012,1125,1160,26,21
137,2012_1125_1161,0.5,2012,1125,1161,26,20
138,2012_1125_1163,0.5,2012,1125,1163,26,20
139,2012_1125_1166,0.5,2012,1125,1166,26,28
