Id,Pred
2016_1112_1114,0.648
2016_1112_1122,0.78
2016_1112_1124,0.658
2016_1112_1138,0.773
2016_1112_1139,0.69
2016_1112_1143,0.626
2016_1112_1151,0.666
2016_1112_1153,0.6
2016_1112_1160,0.684
2016_1112_1163,0.669
2016_1112_1167,0.795
2016_1112_1173,0.646
2016_1112_1181,0.646
2016_1112_1192,0.802
2016_1112_1195,0.768
2016_1112_1201,0.649
2016_1112_1211,0.603
2016_1112_1214,0.781
2016_1112_1218,0.638
2016_1112_1221,0.863
2016_1112_1231,0.611
2016_1112_1233,0.627
2016_1112_1234,0.67
2016_1112_1235,0.679
2016_1112_1242,0.488
2016_1112_1246,0.54
2016_1112_1268,0.644
2016_1112_1274,0.583
2016_1112_1276,0.696
2016_1112_1277,0.397
2016_1112_1292,0.752
2016_1112_1314,0.424
2016_1112_1320,0.548
2016_1112_1323,0.673
2016_1112_1328,0.543
2016_1112_1332,0.518
2016_1112_1333,0.616
2016_1112_1338,0.696
2016_1112_1344,0.675
2016_1112_1345,0.574
2016_1112_1355,0.648
2016_1112_1371,0.636
2016_1112_1372,0.593
2016_1112_1380,0.801
2016_1112_1386,0.649
2016_1112_1392,0.592
2016_1112_1393,0.668
2016_1112_1396,0.623
2016_1112_1400,0.664
2016_1112_1401,0.617
2016_1112_1403,0.688
2016_1112_1409,0.649
2016_1112_1421,0.822
2016_1112_1423,0.649
2016_1112_1425,0.676
2016_1112_1428,0.617
2016_1112_1433,0.617
2016_1112_1435,0.597
2016_1112_1437,0.496
2016_1112_1438,0.446
2016_1112_1451,0.821
2016_1112_1452,0.528
2016_1112_1453,0.82
2016_1112_1455,0.599
2016_1112_1458,0.666
2016_1112_1462,0.529
2016_1112_1463,0.619
2016_1114_1122,0.686
2016_1114_1124,0.413
2016_1114_1138,0.623
2016_1114_1139,0.371
2016_1114_1143,0.434
2016_1114_1151,0.632
2016_1114_1153,0.318
2016_1114_1160,0.423
2016_1114_1163,0.374
2016_1114_1167,0.647
2016_1114_1173,0.407
2016_1114_1181,0.431
2016_1114_1192,0.79
2016_1114_1195,0.689
2016_1114_1201,0.604
2016_1114_1211,0.373
2016_1114_1214,0.725
2016_1114_1218,0.448
2016_1114_1221,0.867
2016_1114_1231,0.393
2016_1114_1233,0.63
2016_1114_1234,0.406
2016_1114_1235,0.406
2016_1114_1242,0.273
2016_1114_1246,0.415
2016_1114_1268,0.413
2016_1114_1274,0.371
2016_1114_1276,0.352
2016_1114_1277,0.242
2016_1114_1292,0.627
2016_1114_1314,0.223
2016_1114_1320,0.581
2016_1114_1323,0.364
2016_1114_1328,0.308
2016_1114_1332,0.326
2016_1114_1333,0.492
2016_1114_1338,0.356
2016_1114_1344,0.433
2016_1114_1345,0.422
2016_1114_1355,0.583
2016_1114_1371,0.403
2016_1114_1372,0.482
2016_1114_1380,0.734
2016_1114_1386,0.402
2016_1114_1392,0.599
2016_1114_1393,0.38
2016_1114_1396,0.613
2016_1114_1400,0.386
2016_1114_1401,0.415
2016_1114_1403,0.415
2016_1114_1409,0.42
2016_1114_1421,0.62
2016_1114_1423,0.581
2016_1114_1425,0.352
2016_1114_1428,0.422
2016_1114_1433,0.377
2016_1114_1435,0.369
2016_1114_1437,0.23
2016_1114_1438,0.244
2016_1114_1451,0.651
2016_1114_1452,0.332
2016_1114_1453,0.621
2016_1114_1455,0.375
2016_1114_1458,0.362
2016_1114_1462,0.341
2016_1114_1463,0.451
2016_1122_1124,0.11
2016_1122_1138,0.326
2016_1122_1139,0.123
2016_1122_1143,0.109
2016_1122_1151,0.196
2016_1122_1153,0.117
2016_1122_1160,0.158
2016_1122_1163,0.113
2016_1122_1167,0.302
2016_1122_1173,0.107
2016_1122_1181,0.119
2016_1122_1192,0.664
2016_1122_1195,0.445
2016_1122_1201,0.21
2016_1122_1211,0.106
2016_1122_1214,0.628
2016_1122_1218,0.158
2016_1122_1221,0.562
2016_1122_1231,0.116
2016_1122_1233,0.262
2016_1122_1234,0.114
2016_1122_1235,0.118
2016_1122_1242,0.094
2016_1122_1246,0.106
2016_1122_1268,0.116
2016_1122_1274,0.106
2016_1122_1276,0.168
2016_1122_1277,0.085
2016_1122_1292,0.356
2016_1122_1314,0.098
2016_1122_1320,0.181
2016_1122_1323,0.112
2016_1122_1328,0.09
2016_1122_1332,0.11
2016_1122_1333,0.168
2016_1122_1338,0.143
2016_1122_1344,0.12
2016_1122_1345,0.103
2016_1122_1355,0.184
2016_1122_1371,0.106
2016_1122_1372,0.253
2016_1122_1380,0.655
2016_1122_1386,0.103
2016_1122_1392,0.239
2016_1122_1393,0.146
2016_1122_1396,0.169
2016_1122_1400,0.116
2016_1122_1401,0.121
2016_1122_1403,0.122
2016_1122_1409,0.154
2016_1122_1421,0.36
2016_1122_1423,0.156
2016_1122_1425,0.149
2016_1122_1428,0.117
2016_1122_1433,0.117
2016_1122_1435,0.176
2016_1122_1437,0.097
2016_1122_1438,0.098
2016_1122_1451,0.384
2016_1122_1452,0.094
2016_1122_1453,0.324
2016_1122_1455,0.107
2016_1122_1458,0.122
2016_1122_1462,0.114
2016_1122_1463,0.206
2016_1124_1138,0.741
2016_1124_1139,0.458
2016_1124_1143,0.432
2016_1124_1151,0.711
2016_1124_1153,0.361
2016_1124_1160,0.514
2016_1124_1163,0.412
2016_1124_1167,0.802
2016_1124_1173,0.465
2016_1124_1181,0.349
2016_1124_1192,0.816
2016_1124_1195,0.701
2016_1124_1201,0.716
2016_1124_1211,0.323
2016_1124_1214,0.782
2016_1124_1218,0.616
2016_1124_1221,0.898
2016_1124_1231,0.342
2016_1124_1233,0.692
2016_1124_1234,0.351
2016_1124_1235,0.421
2016_1124_1242,0.264
2016_1124_1246,0.363
2016_1124_1268,0.403
2016_1124_1274,0.362
2016_1124_1276,0.518
2016_1124_1277,0.256
2016_1124_1292,0.75
2016_1124_1314,0.264
2016_1124_1320,0.633
2016_1124_1323,0.433
